,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
194,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,30,5,6,14,24,11,0
195,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,30,7,5,10,30,10,0
196,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,25,6,2,9,42,8,0
197,07 StB Loschwitz und OS Sch_nfeld-Wei_ig,26,5,7,11,34,9,0
198,"08 Blasewitz, Striesen",32,11,9,14,14,14,0
199,"08 Blasewitz, Striesen",32,11,11,10,12,15,0
200,"08 Blasewitz, Striesen",28,9,9,13,19,13,0
201,"08 Blasewitz, Striesen",31,11,9,13,16,12,0
202,"08 Blasewitz, Striesen",28,9,9,14,19,12,0
203,"08 Blasewitz, Striesen",21,11,14,12,18,16,0
204,"08 Blasewitz, Striesen",26,10,11,12,19,14,0
205,"08 Blasewitz, Striesen",24,8,14,10,19,16,1
206,"08 Blasewitz, Striesen",30,10,14,11,12,13,0
207,"08 Blasewitz, Striesen",27,10,19,12,9,13,0
208,"08 Blasewitz, Striesen",29,8,17,10,10,14,0
209,"08 Blasewitz, Striesen",24,11,21,12,11,12,0
210,"08 Blasewitz, Striesen",23,10,17,12,14,15,0
211,"08 Blasewitz, Striesen",25,11,19,8,13,17,0
212,"08 Blasewitz, Striesen",27,10,13,12,14,14,0
213,"08 Blasewitz, Striesen",23,12,13,13,18,12,0
214,"08 Blasewitz, Striesen",25,9,16,14,15,13,0
215,"08 Blasewitz, Striesen",24,10,13,10,19,14,0
216,"08 Blasewitz, Striesen",26,11,9,10,18,17,0
217,"08 Blasewitz, Striesen",27,11,7,11,24,12,0
218,"08 Blasewitz, Striesen",27,12,9,10,15,16,0
219,"08 Blasewitz, Striesen",29,14,7,9,17,17,0
220,"08 Blasewitz, Striesen",28,12,8,8,16,17,0
221,"08 Blasewitz, Striesen",27,11,12,12,16,15,0
222,"08 Blasewitz, Striesen",21,11,11,9,19,18,0
223,"08 Blasewitz, Striesen",18,8,6,10,25,23,1
224,"08 Blasewitz, Striesen",24,14,4,8,26,17,0
225,"08 Blasewitz, Striesen",23,11,6,12,23,16,0
226,"08 Blasewitz, Striesen",19,9,6,10,29,16,0
227,"08 Blasewitz, Striesen",22,9,8,10,21,19,1
228,"08 Blasewitz, Striesen",33,11,10,10,11,15,0
229,"08 Blasewitz, Striesen",27,11,9,11,16,16,1
230,"08 Blasewitz, Striesen",30,10,9,10,15,16,0
231,"08 Blasewitz, Striesen",24,13,10,10,18,16,1
232,"08 Blasewitz, Striesen",20,10,13,12,16,17,1
233,"08 Blasewitz, Striesen",24,14,4,10,22,16,0
234,"08 Blasewitz, Striesen",27,10,5,11,24,15,0
235,"08 Blasewitz, Striesen",28,11,7,11,21,13,0
236,"08 Blasewitz, Striesen",26,11,7,13,19,14,0
237,"08 Blasewitz, Striesen",23,12,8,8,23,18,0
238,"09 Tolkewitz, Seidnitz, Gruna",29,10,6,8,20,18,0
239,"09 Tolkewitz, Seidnitz, Gruna",24,13,6,10,20,17,0
240,"09 Tolkewitz, Seidnitz, Gruna",22,8,8,9,28,14,0
241,"09 Tolkewitz, Seidnitz, Gruna",19,8,11,9,26,18,0
242,"09 Tolkewitz, Seidnitz, Gruna",22,10,5,8,28,16,0
243,"09 Tolkewitz, Seidnitz, Gruna",25,10,3,9,29,15,0
244,"09 Tolkewitz, Seidnitz, Gruna",19,10,1,6,36,18,1
245,"09 Tolkewitz, Seidnitz, Gruna",21,10,4,12,26,16,1
246,"09 Tolkewitz, Seidnitz, Gruna",23,10,5,11,27,14,0
247,"09 Tolkewitz, Seidnitz, Gruna",29,9,4,10,22,16,0
248,"09 Tolkewitz, Seidnitz, Gruna",26,9,5,9,21,18,0
249,"09 Tolkewitz, Seidnitz, Gruna",18,10,3,11,32,15,0
250,"09 Tolkewitz, Seidnitz, Gruna",16,11,2,9,34,16,1
251,"09 Tolkewitz, Seidnitz, Gruna",23,10,4,8,28,17,0
252,"09 Tolkewitz, Seidnitz, Gruna",18,7,6,12,33,13,0
253,"09 Tolkewitz, Seidnitz, Gruna",22,9,4,9,31,16,0
254,"09 Tolkewitz, Seidnitz, Gruna",22,6,4,7,33,18,0
255,"09 Tolkewitz, Seidnitz, Gruna",23,10,3,10,31,14,0
256,"09 Tolkewitz, Seidnitz, Gruna",23,8,4,10,33,12,0
257,"09 Tolkewitz, Seidnitz, Gruna",24,11,3,5,28,19,0
258,"09 Tolkewitz, Seidnitz, Gruna",21,10,2,7,27,22,0
259,"09 Tolkewitz, Seidnitz, Gruna",27,11,9,8,15,20,0
260,"09 Tolkewitz, Seidnitz, Gruna",32,12,7,10,15,16,0
261,"09 Tolkewitz, Seidnitz, Gruna",29,8,9,11,17,16,0
